Ýlçe, Mahalle, Net Metrekare, Oda Sayýsý, Bulunduðu Kat, Isýtma Tipi, Eþya Durumu, Konut Tipi, Brüt Metrekare, Bina Yaþý, Binanýn Kat Sayýsý, Site Ýçerisinde, Fiyat
Esenyurt , Mevlana Mahallesi,100,2+1,4,Kombi Doðalgaz,Eþyalý,Daire,110,10,5,Hayýr,15000
Esenyurt , Güzelyurt Mahallesi,65,1+1,0,Kombi Doðalgaz,Eþyalý,Daire,75,10,4,Hayýr,11500
Esenyurt , Talatpaþa Mahallesi,90,2+1,0,Kombi Doðalgaz,Eþyalý,Daire,100,10,6,Hayýr,10000
Esenyurt , Cumhuriyet Mahallesi,70,1+1,13,Kombi Doðalgaz,Eþyalý,Daire,90,10,15,Hayýr,13000
Esenyurt , Talatpaþa Mahallesi,110,2+1,1,Kombi Doðalgaz,Eþyalý,Daire,120,10,4,Hayýr,12000
Esenyurt , Talatpaþa Mahallesi,50,Stüdyo,3,Kombi Doðalgaz,Eþyalý,Residence,55,10,11,Hayýr,7000
Esenyurt , Güzelyurt Mahallesi,75,2+1,0,Kombi Doðalgaz,Eþyalý,Hayýr,Daire,85,10,4,12000
Esenyurt , Piri Reis Mahallesi,65,1+1,8,Merkezi (Pay Ölçer),Eþyalý,Hayýr,Daire,70,4,9,11500
Esenyurt , Koza Mahallesi,47,1+1,7,Kombi Doðalgaz,Eþyalý,Daire,67,10,11,Hayýr,8000
Esenyurt , Mehterçeþme Mahallesi,90,2+1,4,Kombi Doðalgaz,Eþyalý,Daire,95,2,4,Hayýr,12500
Esenyurt , Akevler Mahallesi,80,2+1,7,Merkezi Doðalgaz,Hayýr,Daire,90,10,15,Eþyalý,17000
Esenyurt , Yeþilkent Mahallesi,55,1+1,6,Kombi Doðalgaz,Eþyalý,Daire,76,0,22,Hayýr,13000
Esenyurt , Yeþilkent Mahallesi,85,2+1,0,Kombi Doðalgaz,Hayýr,Daire,90,10,4,Eþyalý,10000
Esenyurt , Turgut Özal Mahallesi,80,1+1,4,Kombi Doðalgaz,Eþyalý,Daire,95,4,4,Hayýr,15000
Esenyurt , Mehterçeþme Mahallesi,70,2+1,0,Kombi Doðalgaz,Eþyalý,Daire,85,10,3,Hayýr,15000
Esenyurt , Akçaburgaz Mahallesi,85,2+1,5,Kombi Doðalgaz,Eþyalý,Daire,100,15,5,Hayýr,13500
Esenyurt , Turgut Özal Mahallesi,80,2+1,0,Kombi Doðalgaz,Eþyalý,Daire,90,10,3,Hayýr,15000
Esenyurt , Zafer Mahallesi,70,1+1,0,Merkezi (Pay Ölçer),Eþyalý,Daire,90,10,10,Hayýr,12000
Esenyurt , Mehmet Akif Ersoy Mahallesi,135,3+1,4,Kombi Doðalgaz,Daire,150,10,7,Eþyalý,Hayýr,17000
Esenyurt , Piri Reis Mahallesi,60,15+1,1,Merkezi Doðalgaz,Eþyalý,Residence,70,10,11,Hayýr,15000
Esenyurt , Piri Reis Mahallesi,120,3+1,3,Kombi Doðalgaz,Eþyalý,Daire,135,10,9,Hayýr,14000
Esenyurt , Ýnönü Mahallesi,130,3+1,4,Kombi Doðalgaz,Eþyalý,Daire,140,2,5,Hayýr,10000
Esenyurt , Zafer Mahallesi,50,Stüdyo,1,Merkezi Doðalgaz,Eþyalý,Daire,65,10,5,Hayýr,7500
Esenyurt , Ýstiklal Mahallesi,70,1+1,0,Kombi Doðalgaz,Eþyalý,Daire,75,10,4,Hayýr,9000
